StudentID,Grade,Attempt,Date,Reading,Math,Writing,Total
62060017,11,2,5/4/2013,380,560,390,1330
62060017,12,3,10/11/2014,440,590,420,1450
62060018,11,1,1/15/2013,420,460,430,1310
62060018,11,2,5/4/2013,440,420,410,1270
62060018,12,3,10/5/2013,600,470,510,1580
62060019,11,1,1/15/2013,380,430,380,1190
62060019,11,2,5/4/2013,370,420,370,1160
62060019,11,3,5/3/2014,250,450,350,1050
62060020,11,1,1/15/2013,380,330,360,1070
62060020,11,2,5/4/2013,270,340,350,960
62060027,11,1,1/15/2013,480,450,550,1480
62060027,11,2,5/4/2013,410,560,470,1440
62060027,12,3,10/5/2013,460,460,430,1350
62060029,11,1,1/15/2013,590,510,500,1600
62060029,11,2,5/4/2013,520,530,500,1550
62060029,12,3,10/5/2013,520,550,570,1640
62060035,11,1,1/15/2013,480,600,490,1570
62060035,11,2,5/4/2013,530,570,570,1670
62060035,12,3,10/5/2013,570,620,630,1820
62060042,11,1,5/3/2014,360,390,400,1150
62060043,11,1,1/15/2013,580,460,480,1520
62060043,11,2,5/4/2013,560,520,480,1560
62060043,12,3,10/5/2013,530,500,510,1540
62060051,11,1,1/15/2013,360,420,450,1230
62060051,11,2,5/4/2013,290,420,470,1180
62060060,11,1,1/15/2013,340,450,400,1190
62060060,11,2,5/4/2013,330,510,520,1360
62060061,11,1,1/15/2013,440,490,480,1410
62060061,11,2,5/4/2013,400,480,510,1390
62060061,12,3,10/5/2013,410,500,500,1410
62060063,11,1,1/15/2013,290,390,390,1070
62060063,11,2,5/4/2013,270,410,360,1040
62060063,12,3,10/5/2013,260,410,330,1000
62060068,11,1,1/15/2013,450,450,420,1320
62060068,11,2,5/4/2013,450,480,450,1380
62060068,12,3,10/5/2013,450,440,530,1420
62060074,11,1,1/15/2013,530,500,550,1580
62060074,11,2,5/4/2013,520,520,540,1580
62060074,12,3,10/5/2013,520,500,630,1650
62060076,11,1,1/15/2013,360,400,360,1120
62060076,11,2,5/4/2013,350,410,330,1090
62060080,11,1,5/3/2014,400,460,380,1240
62060081,11,1,1/15/2013,470,470,520,1460
62060081,11,2,5/4/2013,430,470,570,1470
62060081,12,3,10/5/2013,470,530,550,1550
62060084,11,1,1/15/2013,380,440,410,1230
62060084,11,2,5/4/2013,390,410,410,1210
70720001,11,1,3/14/2015,560,440,380,1380
80120007,11,1,3/8/2014,360,470,440,1270
80120007,11,2,6/7/2014,380,550,470,1400
80120007,12,3,10/11/2014,420,470,460,1350
80120009,11,1,3/8/2014,390,440,420,1250
80120011,11,1,3/8/2014,370,300,390,1060
80120011,11,2,5/3/2014,260,370,380,1010
80120021,11,1,3/14/2015,340,490,380,1210
80120024,11,1,3/8/2014,430,480,590,1500
80120024,11,2,6/7/2014,450,540,580,1570
80120024,12,3,10/11/2014,520,550,580,1650
80120026,11,1,3/8/2014,520,550,640,1710
80120026,11,2,6/7/2014,550,570,600,1720
80120026,12,3,10/11/2014,530,580,560,1670
80120027,11,1,3/8/2014,440,440,510,1390
80120027,11,2,6/7/2014,520,470,530,1520
80120027,12,3,10/11/2014,520,470,550,1540
80120031,11,1,3/8/2014,410,350,440,1200
80120031,11,2,6/7/2014,430,400,460,1290
80120031,12,3,10/11/2014,390,390,430,1210
80120033,11,1,3/8/2014,400,470,470,1340
